strain	replicate	age.at.death	rupture	
1	N2	1	34	0
2	N2	1	34	0
3	N2	1	34	0
4	N2	1	38	0
5	N2	1	38	0
6	N2	1	40	0
7	N2	1	40	0
8	N2	1	42	0
9	N2	1	42	0
10	N2	1	42	0
11	N2	1	42	0
12	N2	1	42	0
13	N2	1	42	0
14	N2	1	42	0
15	N2	1	42	0
16	N2	1	45	0
17	N2	1	45	0
18	N2	1	47	0
19	N2	1	47	0
20	N2	1	47	0
21	N2	1	47	0
22	N2	1	47	0
23	N2	1	47	0
24	N2	1	47	0
25	N2	1	47	0
26	N2	1	47	0
27	N2	1	47	0
28	N2	1	49	0
29	N2	1	49	0
30	N2	1	49	0
31	N2	1	49	0
32	N2	1	49	0
33	N2	1	52	0
34	N2	1	52	0
35	N2	1	52	0
36	N2	1	52	0
37	N2	1	52	0
38	N2	1	52	0
39	N2	2	32	0
40	N2	2	34	0
41	N2	2	38	0
42	N2	2	38	0
43	N2	2	38	0
44	N2	2	38	0
45	N2	2	40	0
46	N2	2	42	0
47	N2	2	42	0
48	N2	2	42	0
49	N2	2	42	0
50	N2	2	42	0
51	N2	2	42	0
52	N2	2	45	0
53	N2	2	45	0
54	N2	2	45	0
55	N2	2	45	0
56	N2	2	45	0
57	N2	2	47	0
58	N2	2	47	0
59	N2	2	47	0
60	N2	2	47	0
61	N2	2	47	0
62	N2	2	47	0
63	N2	2	49	0
64	N2	2	49	0
65	N2	2	49	0
66	N2	2	49	0
67	N2	2	52	0
68	N2	2	54	0
69	N2	2	54	0
70	N2	2	54	0
71	N2	2	32	2
72	hif-1	1	19	0
73	hif-1	1	24	0
74	hif-1	1	26	0
75	hif-1	1	26	0
76	hif-1	1	26	0
77	hif-1	1	26	0
78	hif-1	1	26	0
79	hif-1	1	32	0
80	hif-1	1	32	0
81	hif-1	1	32	0
82	hif-1	1	32	0
83	hif-1	1	34	0
84	hif-1	1	34	0
85	hif-1	1	36	0
86	hif-1	1	36	0
87	hif-1	1	38	0
88	hif-1	1	40	0
89	hif-1	1	42	0
90	hif-1	1	47	0
91	hif-1	1	29	2
92	hif-1	1	29	2
93	hif-1	1	29	2
94	hif-1	1	29	2
95	hif-1	1	29	2
96	hif-1	1	32	2
97	hif-1	1	32	2
98	hif-1	1	32	2
99	hif-1	1	32	2
100	hif-1	1	32	2
101	hif-1	1	32	2
102	hif-1	1	32	2
103	hif-1	1	32	2
104	hif-1	1	32	2
105	hif-1	1	34	2
106	hif-1	1	34	2
107	hif-1	1	34	2
108	hif-1	1	34	2
109	hif-1	1	34	2
110	hif-1	1	34	2
111	hif-1	1	36	2
112	hif-1	1	36	2
113	hif-1	1	36	2
114	hif-1	1	36	2
115	hif-1	1	36	2
116	hif-1	1	36	2
117	hif-1	1	36	2
118	hif-1	1	36	2
119	hif-1	1	36	2
120	hif-1	1	36	2
121	hif-1	1	36	2
122	hif-1	1	38	2
123	hif-1	1	38	2
124	hif-1	1	38	2
125	hif-1	2	24	0
126	hif-1	2	26	0
127	hif-1	2	26	0
128	hif-1	2	26	0
129	hif-1	2	26	0
130	hif-1	2	26	0
131	hif-1	2	26	0
132	hif-1	2	26	0
133	hif-1	2	29	0
134	hif-1	2	29	0
135	hif-1	2	29	0
136	hif-1	2	32	0
137	hif-1	2	32	0
138	hif-1	2	32	0
139	hif-1	2	32	0
140	hif-1	2	32	0
141	hif-1	2	32	0
142	hif-1	2	34	0
143	hif-1	2	34	0
144	hif-1	2	38	0
145	hif-1	2	26	2
146	hif-1	2	29	2
147	hif-1	2	32	2
148	hif-1	2	32	2
149	hif-1	2	32	2
150	hif-1	2	32	2
151	hif-1	2	32	2
152	hif-1	2	32	2
153	hif-1	2	32	2
154	hif-1	2	32	2
155	hif-1	2	32	2
156	hif-1	2	32	2
157	hif-1	2	32	2
158	hif-1	2	32	2
159	hif-1	2	32	2
160	hif-1	2	32	2
161	hif-1	2	34	2
162	hif-1	2	34	2
163	hif-1	2	34	2
164	hif-1	2	34	2
165	hif-1	2	34	2
166	hif-1	2	34	2
167	hif-1	2	34	2
168	hif-1	2	34	2
169	hif-1	2	36	2
170	hif-1	2	36	2
171	hif-1	2	36	2
172	daf-16	1	17	0
173	daf-16	1	17	0
174	daf-16	1	17	0
175	daf-16	1	24	0
176	daf-16	1	26	0
177	daf-16	1	26	0
178	daf-16	1	29	0
179	daf-16	1	29	0
180	daf-16	1	29	0
181	daf-16	1	29	0
182	daf-16	1	29	0
183	daf-16	1	29	0
184	daf-16	1	32	0
185	daf-16	1	32	0
186	daf-16	1	32	0
187	daf-16	1	32	0
188	daf-16	1	32	0
189	daf-16	1	34	0
190	daf-16	1	34	0
191	daf-16	1	34	0
192	daf-16	1	36	0
193	daf-16	1	26	2
194	daf-16	1	26	2
195	daf-16	1	29	2
196	daf-16	1	29	2
197	daf-16	1	29	2
198	daf-16	1	29	2
199	daf-16	1	29	2
200	daf-16	1	29	2
201	daf-16	1	29	2
202	daf-16	1	29	2
203	daf-16	1	29	2
204	daf-16	1	29	2
205	daf-16	1	29	2
206	daf-16	1	32	2
207	daf-16	1	32	2
208	daf-16	1	32	2
209	daf-16	1	32	2
210	daf-16	1	32	2
211	daf-16	2	17	0
212	daf-16	2	17	0
213	daf-16	2	17	0
214	daf-16	2	19	0
215	daf-16	2	21	0
216	daf-16	2	26	0
217	daf-16	2	26	0
218	daf-16	2	29	0
219	daf-16	2	29	0
220	daf-16	2	29	0
221	daf-16	2	29	0
222	daf-16	2	29	0
223	daf-16	2	29	0
224	daf-16	2	32	0
225	daf-16	2	32	0
226	daf-16	2	32	0
227	daf-16	2	32	0
228	daf-16	2	32	0
229	daf-16	2	32	0
230	daf-16	2	32	0
231	daf-16	2	34	0
232	daf-16	2	36	0
233	daf-16	2	42	0
234	daf-16	2	45	0
235	daf-16	2	17	2
236	daf-16	2	17	2
237	daf-16	2	21	2
238	daf-16	2	21	2
239	daf-16	2	24	2
240	daf-16	2	24	2
241	daf-16	2	26	2
242	daf-16	2	29	2
243	daf-16	2	29	2
244	daf-16	2	29	2
245	daf-16	2	29	2
246	daf-16	2	29	2
247	daf-16	2	29	2
248	daf-16	2	29	2
249	daf-16	2	29	2
250	daf-16	2	29	2
251	daf-16	2	32	2
252	daf-16	2	32	2
253	daf-16	2	32	2
254	daf-16	2	32	2
255	daf-16	2	32	2
256	daf-16	2	32	2
