strain	replicate	age.at.death	rupture	
1	N2.EV(RNAi)	1	16	0
2	N2.EV(RNAi)	1	22	0
3	N2.EV(RNAi)	1	22	0
4	N2.EV(RNAi)	1	22	0
5	N2.EV(RNAi)	1	22	0
6	N2.EV(RNAi)	1	22	0
7	N2.EV(RNAi)	1	22	0
8	N2.EV(RNAi)	1	22	0
9	N2.EV(RNAi)	1	27	0
10	N2.EV(RNAi)	1	29	0
11	N2.EV(RNAi)	1	31	0
12	N2.EV(RNAi)	1	38	0
13	N2.EV(RNAi)	1	16	2
14	N2.EV(RNAi)	1	20	2
15	N2.EV(RNAi)	1	20	2
16	N2.EV(RNAi)	1	20	2
17	N2.EV(RNAi)	1	20	2
18	N2.EV(RNAi)	1	20	2
19	N2.EV(RNAi)	1	20	2
20	N2.EV(RNAi)	1	20	2
21	N2.EV(RNAi)	1	20	2
22	N2.EV(RNAi)	1	20	2
23	N2.EV(RNAi)	1	20	2
24	N2.EV(RNAi)	1	22	2
25	N2.EV(RNAi)	1	22	2
26	N2.EV(RNAi)	1	22	2
27	N2.EV(RNAi)	1	22	2
28	N2.EV(RNAi)	1	24	2
29	N2.EV(RNAi)	1	24	2
30	N2.EV(RNAi)	1	24	2
31	N2.EV(RNAi)	1	24	2
32	N2.EV(RNAi)	1	24	2
33	N2.EV(RNAi)	1	24	2
34	N2.EV(RNAi)	1	24	2
35	N2.EV(RNAi)	1	24	2
36	N2.EV(RNAi)	1	24	2
37	N2.EV(RNAi)	1	24	2
38	N2.EV(RNAi)	1	24	2
39	N2.EV(RNAi)	1	27	2
40	N2.EV(RNAi)	1	27	2
41	N2.EV(RNAi)	1	27	2
42	N2.EV(RNAi)	1	27	2
43	N2.EV(RNAi)	1	27	2
44	N2.EV(RNAi)	1	27	2
45	N2.EV(RNAi)	1	27	2
46	N2.EV(RNAi)	1	27	2
47	N2.EV(RNAi)	1	27	2
48	N2.EV(RNAi)	1	29	2
49	N2.EV(RNAi)	1	29	2
50	N2.EV(RNAi)	1	29	2
51	N2.EV(RNAi)	1	29	2
52	N2.EV(RNAi)	1	31	2
53	N2.EV(RNAi)	1	31	2
54	N2.EV(RNAi)	1	31	2
55	N2.EV(RNAi)	1	34	2
56	N2.EV(RNAi)	1	36	2
57	N2.EV(RNAi)	1	34	3
58	N2.EV(RNAi)	2	22	0
59	N2.EV(RNAi)	2	22	0
60	N2.EV(RNAi)	2	22	0
61	N2.EV(RNAi)	2	22	0
62	N2.EV(RNAi)	2	22	0
63	N2.EV(RNAi)	2	22	0
64	N2.EV(RNAi)	2	22	0
65	N2.EV(RNAi)	2	22	0
66	N2.EV(RNAi)	2	22	0
67	N2.EV(RNAi)	2	24	0
68	N2.EV(RNAi)	2	27	0
69	N2.EV(RNAi)	2	27	0
70	N2.EV(RNAi)	2	16	2
71	N2.EV(RNAi)	2	16	2
72	N2.EV(RNAi)	2	16	2
73	N2.EV(RNAi)	2	20	2
74	N2.EV(RNAi)	2	20	2
75	N2.EV(RNAi)	2	20	2
76	N2.EV(RNAi)	2	20	2
77	N2.EV(RNAi)	2	20	2
78	N2.EV(RNAi)	2	20	2
79	N2.EV(RNAi)	2	20	2
80	N2.EV(RNAi)	2	20	2
81	N2.EV(RNAi)	2	20	2
82	N2.EV(RNAi)	2	20	2
83	N2.EV(RNAi)	2	20	2
84	N2.EV(RNAi)	2	20	2
85	N2.EV(RNAi)	2	20	2
86	N2.EV(RNAi)	2	22	2
87	N2.EV(RNAi)	2	22	2
88	N2.EV(RNAi)	2	22	2
89	N2.EV(RNAi)	2	22	2
90	N2.EV(RNAi)	2	24	2
91	N2.EV(RNAi)	2	24	2
92	N2.EV(RNAi)	2	24	2
93	N2.EV(RNAi)	2	24	2
94	N2.EV(RNAi)	2	24	2
95	N2.EV(RNAi)	2	24	2
96	N2.EV(RNAi)	2	24	2
97	N2.EV(RNAi)	2	24	2
98	N2.EV(RNAi)	2	24	2
99	N2.EV(RNAi)	2	24	2
100	N2.EV(RNAi)	2	27	2
101	N2.EV(RNAi)	2	27	2
102	N2.EV(RNAi)	2	22	3
103	N2.EV(RNAi)	2	22	3
104	N2.EV(RNAi)	2	22	3
105	N2.EV(RNAi)	2	22	3
106	N2.HIF-1(RNAi)	1	22	0
107	N2.HIF-1(RNAi)	1	22	0
108	N2.HIF-1(RNAi)	1	34	0
109	N2.HIF-1(RNAi)	1	16	2
110	N2.HIF-1(RNAi)	1	16	2
111	N2.HIF-1(RNAi)	1	16	2
112	N2.HIF-1(RNAi)	1	16	2
113	N2.HIF-1(RNAi)	1	16	2
114	N2.HIF-1(RNAi)	1	16	2
115	N2.HIF-1(RNAi)	1	16	2
116	N2.HIF-1(RNAi)	1	20	2
117	N2.HIF-1(RNAi)	1	20	2
118	N2.HIF-1(RNAi)	1	20	2
119	N2.HIF-1(RNAi)	1	20	2
120	N2.HIF-1(RNAi)	1	20	2
121	N2.HIF-1(RNAi)	1	20	2
122	N2.HIF-1(RNAi)	1	20	2
123	N2.HIF-1(RNAi)	1	20	2
124	N2.HIF-1(RNAi)	1	20	2
125	N2.HIF-1(RNAi)	1	20	2
126	N2.HIF-1(RNAi)	1	20	2
127	N2.HIF-1(RNAi)	1	20	2
128	N2.HIF-1(RNAi)	1	22	2
129	N2.HIF-1(RNAi)	1	22	2
130	N2.HIF-1(RNAi)	1	22	2
131	N2.HIF-1(RNAi)	1	22	2
132	N2.HIF-1(RNAi)	1	22	2
133	N2.HIF-1(RNAi)	1	22	2
134	N2.HIF-1(RNAi)	1	24	2
135	N2.HIF-1(RNAi)	1	24	2
136	N2.HIF-1(RNAi)	1	24	2
137	N2.HIF-1(RNAi)	1	24	2
138	N2.HIF-1(RNAi)	1	24	2
139	N2.HIF-1(RNAi)	1	24	2
140	N2.HIF-1(RNAi)	1	24	2
141	N2.HIF-1(RNAi)	1	24	2
142	N2.HIF-1(RNAi)	1	24	2
143	N2.HIF-1(RNAi)	1	24	2
144	N2.HIF-1(RNAi)	1	24	2
145	N2.HIF-1(RNAi)	1	24	2
146	N2.HIF-1(RNAi)	1	24	2
147	N2.HIF-1(RNAi)	1	24	2
148	N2.HIF-1(RNAi)	1	27	2
149	N2.HIF-1(RNAi)	1	27	2
150	N2.HIF-1(RNAi)	1	27	2
151	N2.HIF-1(RNAi)	1	27	2
152	N2.HIF-1(RNAi)	1	27	2
153	N2.HIF-1(RNAi)	1	27	2
154	N2.HIF-1(RNAi)	1	27	2
155	N2.HIF-1(RNAi)	1	27	2
156	N2.HIF-1(RNAi)	1	27	2
157	N2.HIF-1(RNAi)	1	27	2
158	N2.HIF-1(RNAi)	1	27	2
159	N2.HIF-1(RNAi)	1	27	2
160	N2.HIF-1(RNAi)	1	29	2
161	N2.HIF-1(RNAi)	1	29	2
162	N2.HIF-1(RNAi)	1	34	2
163	N2.HIF-1(RNAi)	1	22	3
164	N2.HIF-1(RNAi)	2	22	0
165	N2.HIF-1(RNAi)	2	24	0
166	N2.HIF-1(RNAi)	2	29	0
167	N2.HIF-1(RNAi)	2	29	0
168	N2.HIF-1(RNAi)	2	36	0
169	N2.HIF-1(RNAi)	2	14	2
170	N2.HIF-1(RNAi)	2	16	2
171	N2.HIF-1(RNAi)	2	16	2
172	N2.HIF-1(RNAi)	2	16	2
173	N2.HIF-1(RNAi)	2	16	2
174	N2.HIF-1(RNAi)	2	16	2
175	N2.HIF-1(RNAi)	2	16	2
176	N2.HIF-1(RNAi)	2	20	2
177	N2.HIF-1(RNAi)	2	20	2
178	N2.HIF-1(RNAi)	2	20	2
179	N2.HIF-1(RNAi)	2	20	2
180	N2.HIF-1(RNAi)	2	20	2
181	N2.HIF-1(RNAi)	2	20	2
182	N2.HIF-1(RNAi)	2	20	2
183	N2.HIF-1(RNAi)	2	20	2
184	N2.HIF-1(RNAi)	2	20	2
185	N2.HIF-1(RNAi)	2	20	2
186	N2.HIF-1(RNAi)	2	20	2
