strain	replicate	age.at.death	rupture	
1	N2	1	25	0
2	N2	1	27	0
3	N2	1	29	0
4	N2	1	29	0
5	N2	1	29	0
6	N2	1	31	0
7	N2	1	31	0
8	N2	1	31	0
9	N2	1	31	0
10	N2	1	31	0
11	N2	1	31	0
12	N2	1	34	0
13	N2	1	34	0
14	N2	1	34	0
15	N2	1	34	0
16	N2	1	34	0
17	N2	1	37	0
18	N2	1	37	0
19	N2	1	37	0
20	N2	1	37	0
21	N2	1	37	0
22	N2	1	37	0
23	N2	1	37	0
24	N2	1	37	0
25	N2	1	37	0
26	N2	1	37	0
27	N2	1	39	0
28	N2	1	39	0
29	N2	1	39	0
30	N2	1	39	0
31	N2	1	39	0
32	N2	1	42	0
33	N2	1	22	1
34	N2	1	22	1
35	N2	1	25	1
36	N2	1	25	1
37	N2	1	25	1
38	N2	1	27	1
39	N2	1	27	1
40	N2	1	29	1
41	N2	1	29	1
42	N2	1	31	1
43	N2	1	22	2
44	N2	1	22	2
45	N2	1	22	2
46	N2	1	22	2
47	N2	1	22	2
48	N2	1	22	2
49	N2	1	22	2
50	N2	1	22	2
51	N2	1	25	2
52	N2	1	25	2
53	N2	1	25	2
54	N2	1	25	2
55	N2	1	25	2
56	N2	1	25	2
57	N2	1	25	2
58	N2	1	25	2
59	N2	1	25	2
60	N2	1	25	2
61	N2	1	27	2
62	N2	1	27	2
63	N2	1	27	2
64	N2	1	29	2
65	N2	1	29	2
66	N2	1	29	2
67	N2	1	31	2
68	N2	1	31	2
69	N2	1	31	2
70	N2	1	31	2
71	N2	1	34	2
72	N2	1	34	2
73	N2	1	34	2
74	N2	1	15	3
75	N2	1	18	3
76	N2	1	22	3
77	N2	1	25	3
78	N2	1	25	3
79	N2	1	25	3
80	N2	1	25	3
81	N2	1	25	3
82	N2	1	27	3
83	N2	1	27	3
84	N2	1	27	3
85	N2	1	27	3
86	N2	1	27	3
87	N2	1	29	3
88	N2	1	31	3
89	N2	1	34	3
90	N2	2	29	0
91	N2	2	34	0
92	N2	2	34	0
93	N2	2	42	0
94	N2	2	22	1
95	N2	2	25	1
96	N2	2	25	1
97	N2	2	25	1
98	N2	2	27	1
99	N2	2	29	1
100	N2	2	18	2
101	N2	2	20	2
102	N2	2	20	2
103	N2	2	22	2
104	N2	2	22	2
105	N2	2	22	2
106	N2	2	22	2
107	N2	2	22	2
108	N2	2	25	2
109	N2	2	25	2
110	N2	2	25	2
111	N2	2	25	2
112	N2	2	25	2
113	N2	2	25	2
114	N2	2	25	2
115	N2	2	25	2
116	N2	2	25	2
117	N2	2	27	2
118	N2	2	27	2
119	N2	2	27	2
120	N2	2	27	2
121	N2	2	27	2
122	N2	2	27	2
123	N2	2	27	2
124	N2	2	27	2
125	N2	2	27	2
126	N2	2	29	2
127	N2	2	29	2
128	N2	2	29	2
129	N2	2	29	2
130	N2	2	29	2
131	N2	2	29	2
132	N2	2	29	2
133	N2	2	29	2
134	N2	2	31	2
135	N2	2	31	2
136	N2	2	31	2
137	N2	2	31	2
138	N2	2	31	2
139	N2	2	34	2
140	N2	2	34	2
141	N2	2	37	2
142	N2	2	37	2
143	N2	2	18	3
144	N2	2	18	3
145	N2	2	18	3
146	N2	2	20	3
147	N2	2	20	3
148	N2	2	22	3
149	N2	2	22	3
150	N2	2	22	3
151	N2	2	22	3
152	N2	2	22	3
153	N2	2	25	3
154	N2	2	25	3
