"strain"	"replicate"	"age.at.death"	"rupture"
"1"	"N2"	1	11	0
"2"	"N2"	1	11	0
"3"	"N2"	1	28	0
"4"	"N2"	1	32	0
"5"	"N2"	1	32	0
"6"	"N2"	1	32	0
"7"	"N2"	1	15	1
"8"	"N2"	1	34	1
"9"	"N2"	1	36	1
"10"	"N2"	1	15	2
"11"	"N2"	1	20	2
"12"	"N2"	1	20	2
"13"	"N2"	1	20	2
"14"	"N2"	1	22	2
"15"	"N2"	1	22	2
"16"	"N2"	1	22	2
"17"	"N2"	1	22	2
"18"	"N2"	1	22	2
"19"	"N2"	1	22	2
"20"	"N2"	1	25	2
"21"	"N2"	1	25	2
"22"	"N2"	1	25	2
"23"	"N2"	1	25	2
"24"	"N2"	1	25	2
"25"	"N2"	1	25	2
"26"	"N2"	1	28	2
"27"	"N2"	1	28	2
"28"	"N2"	1	28	2
"29"	"N2"	1	28	2
"30"	"N2"	1	28	2
"31"	"N2"	1	28	2
"32"	"N2"	1	28	2
"33"	"N2"	1	28	2
"34"	"N2"	1	28	2
"35"	"N2"	1	30	2
"36"	"N2"	1	30	2
"37"	"N2"	1	30	2
"38"	"N2"	1	30	2
"39"	"N2"	1	30	2
"40"	"N2"	1	30	2
"41"	"N2"	1	30	2
"42"	"N2"	1	30	2
"43"	"N2"	1	30	2
"44"	"N2"	1	30	2
"45"	"N2"	1	30	2
"46"	"N2"	1	30	2
"47"	"N2"	1	30	2
"48"	"N2"	1	30	2
"49"	"N2"	1	30	2
"50"	"N2"	1	30	2
"51"	"N2"	1	30	2
"52"	"N2"	1	32	2
"53"	"N2"	1	32	2
"54"	"N2"	1	34	2
"55"	"N2"	1	34	2
"56"	"N2"	1	34	2
"57"	"N2"	1	34	2
"58"	"N2"	1	34	2
"59"	"N2"	1	34	2
"60"	"N2"	1	34	2
"61"	"N2"	1	34	2
"62"	"N2"	1	36	2
"63"	"N2"	1	36	2
"64"	"N2"	1	18	3
"65"	"N2"	1	18	3
"66"	"N2"	1	20	3
"67"	"N2"	1	22	3
"68"	"N2"	1	22	3
"69"	"N2"	1	25	3
"70"	"N2"	1	25	3
"71"	"N2"	1	25	3
"72"	"N2"	1	28	3
"73"	"N2"	1	34	3
"74"	"N2"	1	34	3
"75"	"N2"	2	11	0
"76"	"N2"	2	15	0
"77"	"N2"	2	32	0
"78"	"N2"	2	32	0
"79"	"N2"	2	39	0
"80"	"N2"	2	30	1
"81"	"N2"	2	30	1
"82"	"N2"	2	30	1
"83"	"N2"	2	30	1
"84"	"N2"	2	30	1
