strain	replicate	age.at.death	rupture	
1	N2	1	22	0
2	N2	1	24	0
3	N2	1	26	0
4	N2	1	28	0
5	N2	1	28	0
6	N2	1	30	0
7	N2	1	30	0
8	N2	1	32	0
9	N2	1	34	0
10	N2	1	24	1
11	N2	1	28	1
12	N2	1	28	1
13	N2	1	28	1
14	N2	1	28	1
15	N2	1	28	1
16	N2	1	28	1
17	N2	1	24	2
18	N2	1	24	2
19	N2	1	26	2
20	N2	1	26	2
21	N2	1	26	2
22	N2	1	26	2
23	N2	1	26	2
24	N2	1	26	2
25	N2	1	26	2
26	N2	1	26	2
27	N2	1	26	2
28	N2	1	26	2
29	N2	1	26	2
30	N2	1	26	2
31	N2	1	26	2
32	N2	1	26	2
33	N2	1	26	2
34	N2	1	26	2
35	N2	1	26	2
36	N2	1	26	2
37	N2	1	26	2
38	N2	1	26	2
39	N2	1	26	2
40	N2	1	26	2
41	N2	1	26	2
42	N2	1	26	2
43	N2	1	26	2
44	N2	1	26	2
45	N2	1	28	2
46	N2	1	28	2
47	N2	1	28	2
48	N2	1	30	2
49	N2	1	30	2
50	N2	1	30	2
51	N2	1	30	2
52	N2	1	30	2
53	N2	1	30	2
54	N2	1	30	2
55	N2	1	30	2
56	N2	1	30	2
57	N2	1	30	2
58	N2	1	30	2
59	N2	1	30	2
60	N2	1	30	2
61	N2	1	32	2
62	N2	1	32	2
63	N2	1	24	3
64	N2	1	30	3
65	N2	1	30	3
66	N2	1	30	3
67	N2	1	30	3
68	N2	1	30	3
69	N2	1	30	3
70	N2	1	30	3
71	N2	1	30	3
72	N2	1	32	3
73	N2	1	32	3
74	N2	2	16	0
75	N2	2	16	0
76	N2	2	22	0
77	N2	2	22	0
78	N2	2	24	0
79	N2	2	24	0
80	N2	2	28	0
81	N2	2	28	0
82	N2	2	28	0
83	N2	2	28	0
84	N2	2	30	0
85	N2	2	30	0
86	N2	2	32	0
87	N2	2	34	0
88	N2	2	34	0
89	N2	2	37	0
90	N2	2	37	0
91	N2	2	37	0
92	N2	2	41	0
93	N2	2	28	1
94	N2	2	28	1
95	N2	2	28	1
96	N2	2	28	1
97	N2	2	28	1
98	N2	2	37	1
99	N2	2	26	2
100	N2	2	26	2
101	N2	2	26	2
102	N2	2	26	2
103	N2	2	26	2
104	N2	2	26	2
105	N2	2	26	2
106	N2	2	26	2
107	N2	2	26	2
108	N2	2	26	2
109	N2	2	26	2
110	N2	2	26	2
111	N2	2	26	2
112	N2	2	26	2
113	N2	2	28	2
114	N2	2	30	2
115	N2	2	30	2
116	N2	2	30	2
117	N2	2	30	2
118	N2	2	30	2
119	N2	2	30	2
120	N2	2	30	2
121	N2	2	30	2
122	N2	2	30	2
123	N2	2	32	2
124	N2	2	30	3
125	N2	2	30	3
126	vhl-1	1	15	0
127	vhl-1	1	25	0
128	vhl-1	1	27	0
129	vhl-1	1	27	0
130	vhl-1	1	27	0
131	vhl-1	1	33	0
132	vhl-1	1	33	0
133	vhl-1	1	33	0
134	vhl-1	1	36	0
135	vhl-1	1	36	0
136	vhl-1	1	36	0
137	vhl-1	1	36	0
138	vhl-1	1	36	0
139	vhl-1	1	38	0
140	vhl-1	1	38	0
141	vhl-1	1	38	0
142	vhl-1	1	38	0
143	vhl-1	1	38	0
144	vhl-1	1	38	0
145	vhl-1	1	38	0
146	vhl-1	1	38	0
147	vhl-1	1	40	0
148	vhl-1	1	40	0
149	vhl-1	1	40	0
150	vhl-1	1	43	0
151	vhl-1	1	43	0
152	vhl-1	1	43	0
153	vhl-1	1	43	0
154	vhl-1	1	47	0
155	vhl-1	1	50	0
156	vhl-1	1	50	0
157	vhl-1	2	15	0
158	vhl-1	2	23	0
159	vhl-1	2	25	0
160	vhl-1	2	36	0
161	vhl-1	2	40	0
162	vhl-1	2	43	0
163	vhl-1	2	43	0
164	vhl-1	2	50	0
165	vhl-1	2	50	0
166	vhl-1	2	52	0
167	vhl-1	2	52	0
168	vhl-1	2	52	0
169	vhl-1	2	57	0
170	vhl-1	2	57	0
171	vhl-1	2	57	0
172	vhl-1	2	57	0
173	vhl-1	2	57	0
174	vhl-1	2	59	0
175	vhl-1	2	59	0
177	vhl-1	2	36	2
178	vhl-1	2	40	2
179	vhl-1	2	40	2
180	vhl-1	2	45	2
