strain	replicate	age.at.death	rupture			
1	hif-1	1	24	0		
2	hif-1	1	26	0		
3	hif-1	1	26	0		
4	hif-1	1	26	0		
5	hif-1	1	26	0		
6	hif-1	1	26	1		
7	hif-1	1	26	1		
8	hif-1	1	26	1		
9	hif-1	1	28	1		
10	hif-1	1	28	2		
11	hif-1	1	28	2		
12	hif-1	1	28	2		
13	hif-1	1	28	2		
14	hif-1	1	28	2		
15	hif-1	1	28	2		
16	hif-1	1	28	2		
17	hif-1	1	28	2		
18	hif-1	1	28	2		
19	hif-1	1	28	2		
20	hif-1	1	31	2		
21	hif-1	1	31	2		
22	hif-1	1	31	2		
23	hif-1	1	31	3		
24	hif-1	1	31	3		
25	hif-1	1	31	3		
26	hif-1	1	31	3		
27	hif-1	1	33	3		
28	hif-1	1	33	3		
29	hif-1	1	33	3		
30	hif-1	1	33	3		
31	hif-1	1	38	3		
32	hif-1	2	26	0		
33	hif-1	2	28	0		
34	hif-1	2	28	0		
35	hif-1	2	28	0		
36	hif-1	2	28	0		
37	hif-1	2	31	0		
38	hif-1	2	26	0		
39	hif-1	2	26	0		
40	hif-1	2	28	0		
41	hif-1	2	28	0		
42	hif-1	2	28	0		
43	hif-1	2	28	1		
44	hif-1	2	28	1		
45	hif-1	2	28	2		
46	hif-1	2	28	2		
47	hif-1	2	28	2		
48	hif-1	2	31	2		
49	hif-1	2	31	2		
50	hif-1	2	31	2		
51	hif-1	2	31	2		
52	hif-1	2	31	2		
53	hif-1	2	31	2		
54	hif-1	2	31	2		
55	hif-1	2	31	2		
56	hif-1	2	31	2		
57	hif-1	2	31	2		
58	hif-1	2	31	2		
59	hif-1	2	31	2		
60	hif-1	2	31	3		
61	hif-1	2	31	3		
62	hif-1	2	31	3		
63	hif-1	2	31	3		
64	hif-1	2	31	3		
65	hif-1	3	31	0		
66	hif-1	3	33	0		
67	hif-1	3	33	0		
68	hif-1	3	33	0		
69	hif-1	3	33	0		
70	hif-1	3	33	0		
71	hif-1	3	33	0		
72	hif-1	3	33	0		
73	hif-1	3	33	0		
74	hif-1	3	33	0		
75	hif-1	3	33	0		
76	hif-1	3	33	0		
77	hif-1	3	33	0		
78	hif-1	3	33	0		
79	hif-1	3	33	0		
80	hif-1	3	26	2		
81	hif-1	3	26	2		
82	hif-1	3	26	2		
83	hif-1	3	26	2		
84	hif-1	3	28	2		
85	hif-1	3	28	2		
86	hif-1	3	28	2		
