strain	replicate	age.at.death	rupture		
1	WT.EV(RNAi)	1	24	0	
2	WT.EV(RNAi)	1	24	0	
3	WT.EV(RNAi)	1	28	0	
4	WT.EV(RNAi)	1	28	0	
5	WT.EV(RNAi)	1	38	0	
6	WT.EV(RNAi)	1	24	1	
7	WT.EV(RNAi)	1	24	1	
8	WT.EV(RNAi)	1	24	1	
9	WT.EV(RNAi)	1	28	1	
10	WT.EV(RNAi)	1	24	2	
11	WT.EV(RNAi)	1	24	2	
12	WT.EV(RNAi)	1	24	2	
13	WT.EV(RNAi)	1	24	2	
14	WT.EV(RNAi)	1	28	2	
15	WT.EV(RNAi)	1	28	2	
16	WT.EV(RNAi)	1	28	2	
17	WT.EV(RNAi)	1	28	2	
18	WT.EV(RNAi)	1	18	3	
19	WT.EV(RNAi)	1	28	3	
20	WT.EV(RNAi)	1	28	3	
21	WT.EV(RNAi)	1	28	3	
22	WT.EV(RNAi)	1	28	3	
23	WT.EV(RNAi)	2	28	0	
24	WT.EV(RNAi)	2	28	0	
25	WT.EV(RNAi)	2	32	0	
26	WT.EV(RNAi)	2	28	1	
27	WT.EV(RNAi)	2	28	1	
28	WT.EV(RNAi)	2	21	2	
29	WT.EV(RNAi)	2	24	2	
30	WT.EV(RNAi)	2	24	2	
31	WT.EV(RNAi)	2	24	2	
32	WT.EV(RNAi)	2	24	2	
33	WT.EV(RNAi)	2	24	2	
34	WT.EV(RNAi)	2	24	2	
35	WT.EV(RNAi)	2	24	2	
36	WT.EV(RNAi)	2	24	2	
37	WT.EV(RNAi)	2	24	2	
38	WT.EV(RNAi)	2	24	2	
39	WT.EV(RNAi)	2	28	2	
40	WT.EV(RNAi)	2	28	2	
41	WT.EV(RNAi)	2	28	2	
42	WT.EV(RNAi)	2	28	2	
43	WT.EV(RNAi)	2	28	2	
44	WT.EV(RNAi)	2	28	2	
45	WT.EV(RNAi)	2	18	3	
46	WT.EV(RNAi)	2	21	3	
47	WT.EV(RNAi)	2	24	3	
48	WT.EV(RNAi)	2	24	3	
49	WT.EV(RNAi)	3	8	0	
50	WT.EV(RNAi)	3	8	0	
51	WT.EV(RNAi)	3	28	0	
52	WT.EV(RNAi)	3	35	0	
53	WT.EV(RNAi)	3	35	0	
54	WT.EV(RNAi)	3	35	0	
55	WT.EV(RNAi)	3	35	0	
56	WT.EV(RNAi)	3	24	1	
57	WT.EV(RNAi)	3	28	1	
58	WT.EV(RNAi)	3	28	1	
59	WT.EV(RNAi)	3	35	1	
60	WT.EV(RNAi)	3	35	1	
61	WT.EV(RNAi)	3	24	2	
62	WT.EV(RNAi)	3	24	2	
63	WT.EV(RNAi)	3	24	2	
64	WT.EV(RNAi)	3	28	2	
65	WT.EV(RNAi)	3	28	2	
66	WT.EV(RNAi)	3	28	2	
67	WT.EV(RNAi)	3	28	2	
68	WT.EV(RNAi)	3	24	3	
69	WT.EV(RNAi)	3	24	3	
70	WT.EV(RNAi)	3	28	3	
71	WT.EV(RNAi)	4	21	0	
72	WT.EV(RNAi)	4	21	0	
73	WT.EV(RNAi)	4	21	0	
74	WT.EV(RNAi)	4	21	0	
75	WT.EV(RNAi)	4	21	0	
76	WT.EV(RNAi)	4	21	0	
77	WT.EV(RNAi)	4	24	0	
78	WT.EV(RNAi)	4	24	0	
79	WT.EV(RNAi)	4	24	0	
80	WT.EV(RNAi)	4	24	0	
81	WT.EV(RNAi)	4	24	0	
82	WT.EV(RNAi)	4	28	0	
83	WT.EV(RNAi)	4	28	0	
84	WT.EV(RNAi)	4	28	0	
85	WT.EV(RNAi)	4	28	0	
86	WT.EV(RNAi)	4	35	0	
87	WT.EV(RNAi)	4	35	0	
88	WT.EV(RNAi)	4	37	0	
89	WT.EV(RNAi)	4	37	0	
90	WT.EV(RNAi)	4	37	0	
91	WT.EV(RNAi)	4	42	0	
92	WT.EV(RNAi)	5	42	0	
93	WT.EV(RNAi)	2	21	1	
94	WT.EV(RNAi)	2	21	1	
95	WT.EV(RNAi)	2	24	1	
96	WT.EV(RNAi)	2	21	0	
97	WT.EV(RNAi)	2	24	2	
98	WT.EV(RNAi)	2	24	2	
99	WT.EV(RNAi)	2	24	2	
100	WT.EV(RNAi)	2	24	2	
101	WT.EV(RNAi)	2	24	2	
102	WT.EV(RNAi)	2	24	2	
103	WT.EV(RNAi)	2	24	2	
104	WT.EV(RNAi)	2	24	2	
105	WT.EV(RNAi)	2	24	2	
106	WT.EV(RNAi)	3	24	2	
107	WT.EV(RNAi)	3	24	2	
108	WT.EV(RNAi)	3	24	2	
109	WT.EV(RNAi)	3	24	2	
110	WT.EV(RNAi)	3	24	2	
111	WT.EV(RNAi)	3	24	2	
112	WT.EV(RNAi)	3	24	2	
113	WT.EV(RNAi)	3	24	2	
114	WT.EV(RNAi)	3	28	2	
115	WT.EV(RNAi)	3	28	2	
116	WT.EV(RNAi)	3	28	2	
117	WT.EV(RNAi)	3	28	2	
118	WT.EV(RNAi)	3	28	2	
119	WT.EV(RNAi)	3	28	2	
120	WT.EV(RNAi)	3	28	2	
121	WT.EV(RNAi)	3	28	2	
122	WT.EV(RNAi)	3	28	2	
123	WT.EV(RNAi)	3	28	2	
124	WT.EV(RNAi)	3	28	2	
125	WT.EV(RNAi)	3	28	2	
126	WT.EV(RNAi)	3	28	2	
127	WT.EV(RNAi)	3	28	2	
128	WT.EV(RNAi)	3	28	2	
129	WT.EV(RNAi)	3	28	2	
130	WT.EV(RNAi)	3	28	2	
131	WT.EV(RNAi)	3	28	2	
132	WT.EV(RNAi)	1	31	2	
133	WT.EV(RNAi)	1	35	2	
134	WT.EV(RNAi)	1	35	2	
135	WT.EV(RNAi)	1	35	2	
136	WT.EV(RNAi)	1	35	2	
137	WT.EV(RNAi)	1	42	2	
138	WT.EV(RNAi)	1	15	3	
139	WT.EV(RNAi)	1	24	3	
140	WT.EV(RNAi)	1	24	3	
141	WT.EV(RNAi)	1	24	3	
142	WT.rpl-6(RNAi)	1	28	0	
143	WT.rpl-6(RNAi)	1	35	0	
144	WT.rpl-6(RNAi)	1	24	2	X
145	WT.rpl-6(RNAi)	1	24	2	
146	WT.rpl-6(RNAi)	1	24	2	
147	WT.rpl-6(RNAi)	1	24	2	
148	WT.rpl-6(RNAi)	1	24	2	
149	WT.rpl-6(RNAi)	1	24	2	
150	WT.rpl-6(RNAi)	1	24	2	
151	WT.rpl-6(RNAi)	1	24	2	
152	WT.rpl-6(RNAi)	1	24	2	
153	WT.rpl-6(RNAi)	1	24	2	
154	WT.rpl-6(RNAi)	1	28	2	
155	WT.rpl-6(RNAi)	1	28	2	
156	WT.rpl-6(RNAi)	1	28	2	
157	WT.rpl-6(RNAi)	1	28	2	
158	WT.rpl-6(RNAi)	1	28	2	
159	WT.rpl-6(RNAi)	1	28	2	
160	WT.rpl-6(RNAi)	1	28	2	
161	WT.rpl-6(RNAi)	1	28	2	
162	WT.rpl-6(RNAi)	1	28	2	
163	WT.rpl-6(RNAi)	1	28	2	
164	WT.rpl-6(RNAi)	1	28	2	
165	WT.rpl-6(RNAi)	1	28	2	
166	WT.rpl-6(RNAi)	1	32	2	
167	WT.rpl-6(RNAi)	1	32	2	
168	WT.rpl-6(RNAi)	1	32	2	
169	WT.rpl-6(RNAi)	1	32	2	
170	WT.rpl-6(RNAi)	1	32	2	
171	WT.rpl-6(RNAi)	1	32	2	
172	WT.rpl-6(RNAi)	2	21	0	X
173	WT.rpl-6(RNAi)	2	24	0	
174	WT.rpl-6(RNAi)	2	24	0	
175	WT.rpl-6(RNAi)	2	24	0	
176	WT.rpl-6(RNAi)	2	24	0	
177	WT.rpl-6(RNAi)	2	24	0	
178	WT.rpl-6(RNAi)	2	24	0	
179	WT.rpl-6(RNAi)	2	24	0	
180	WT.rpl-6(RNAi)	2	24	0	
181	WT.rpl-6(RNAi)	2	24	0	
182	WT.rpl-6(RNAi)	2	24	0	
183	WT.rpl-6(RNAi)	2	24	0	
184	WT.rpl-6(RNAi)	2	24	0	
185	WT.rpl-6(RNAi)	2	24	0	
186	WT.rpl-6(RNAi)	2	24	0	
187	WT.rpl-6(RNAi)	2	24	0	
188	WT.rpl-6(RNAi)	2	24	0	
189	WT.rpl-6(RNAi)	2	24	0	
190	WT.rpl-6(RNAi)	2	24	0	
191	WT.rpl-6(RNAi)	2	24	0	
192	WT.rpl-6(RNAi)	2	24	0	
193	WT.rpl-6(RNAi)	2	24	0	
194	WT.rpl-6(RNAi)	2	24	0	
195	WT.rpl-6(RNAi)	2	28	0	
196	WT.rpl-6(RNAi)	2	28	0	
197	WT.rpl-6(RNAi)	2	28	0	
198	WT.rpl-6(RNAi)	2	28	0	
199	WT.rpl-6(RNAi)	2	28	0	
200	WT.rpl-6(RNAi)	2	28	0	
201	WT.rpl-6(RNAi)	2	28	0	
202	WT.rpl-6(RNAi)	2	28	0	
203	WT.rpl-6(RNAi)	2	28	0	
204	WT.rpl-6(RNAi)	2	28	0	
205	WT.rpl-6(RNAi)	2	28	0	
206	WT.rpl-6(RNAi)	2	32	0	
