strain	replicate	age.at.death	rupture	
1	N2	1	14	0
2	N2	1	21	0
3	N2	1	24	0
4	N2	1	24	0
5	N2	1	27	0
6	N2	1	27	0
7	N2	1	29	0
8	N2	1	29	0
9	N2	1	31	0
10	N2	1	31	0
11	N2	1	31	0
12	N2	1	33	0
13	N2	1	33	0
14	N2	1	33	0
15	N2	1	33	0
16	N2	1	33	0
17	N2	1	33	0
18	N2	1	33	0
19	N2	1	33	0
20	N2	1	33	0
21	N2	1	35	0
22	N2	1	35	0
23	N2	1	35	0
24	N2	1	35	0
25	N2	1	38	0
26	N2	1	38	0
27	N2	1	38	0
28	N2	1	38	0
29	N2	1	38	0
30	N2	1	40	0
31	N2	1	40	0
32	N2	1	40	0
33	N2	1	40	0
34	N2	1	40	0
35	N2	1	40	0
36	N2	1	40	0
37	N2	1	42	0
38	N2	1	52	0
39	N2	1	24	2
40	N2	1	27	2
41	N2	1	27	2
42	N2	1	27	2
43	N2	1	29	2
44	N2	1	33	2
45	N2	1	33	2
46	N2	1	33	2
47	N2	1	35	2
48	N2	1	38	2
49	N2	1	38	2
50	N2	1	40	2
51	N2	1	40	2
52	N2	1	42	2
53	N2	1	29	3
54	N2	1	35	3
55	N2	1	40	3
56	N2	1	33	0
57	N2	1	33	0
58	N2	1	35	0
59	N2	1	35	0
60	N2	1	40	0
61	N2	1	40	0
62	N2	1	40	0
63	N2	1	40	0
64	N2	1	40	0
65	N2	1	40	0
66	N2	1	40	0
67	N2	1	49	0
68	N2	2	24	2
69	N2	2	29	2
70	N2	2	31	2
71	N2	2	31	2
72	N2	2	33	2
73	N2	2	38	2
74	N2	2	40	2
75	N2	2	40	2
76	N2	2	27	3
77	N2	2	27	3
78	N2	2	27	3
79	N2	2	29	3
80	N2	2	33	3
81	N2	2	33	3
82	N2	2	38	3
83	hif-1	1	21	0
84	hif-1	1	21	0
85	hif-1	1	24	0
86	hif-1	1	24	0
87	hif-1	1	29	0
88	hif-1	1	29	0
89	hif-1	1	29	0
90	hif-1	1	31	0
91	hif-1	1	31	0
92	hif-1	1	31	0
93	hif-1	1	31	0
94	hif-1	1	31	0
95	hif-1	1	33	0
96	hif-1	1	33	0
97	hif-1	1	35	0
98	hif-1	1	35	0
99	hif-1	1	35	0
100	hif-1	1	35	0
101	hif-1	1	35	0
102	hif-1	1	35	0
103	hif-1	1	35	0
104	hif-1	1	38	0
105	hif-1	1	38	0
106	hif-1	1	38	0
107	hif-1	1	38	0
108	hif-1	1	40	0
109	hif-1	1	40	0
110	hif-1	1	40	0
111	hif-1	1	42	0
112	hif-1	1	45	0
113	hif-1	1	45	0
114	hif-1	1	45	0
115	hif-1	1	21	2
116	hif-1	1	27	2
117	hif-1	1	27	2
118	hif-1	1	27	2
119	hif-1	1	29	2
120	hif-1	1	29	2
121	hif-1	1	29	2
122	hif-1	1	31	2
123	hif-1	1	31	2
124	hif-1	1	33	2
125	hif-1	1	33	2
126	hif-1	1	33	2
127	hif-1	1	33	2
128	hif-1	1	33	2
129	hif-1	1	33	2
130	hif-1	1	35	2
131	hif-1	1	35	2
132	hif-1	1	35	2
133	hif-1	1	35	2
134	hif-1	1	35	2
135	hif-1	1	38	2
136	hif-1	1	38	2
137	hif-1	1	40	2
138	hif-1	1	42	2
139	hif-1	1	45	2
140	hif-1	1	47	2
141	hif-1	1	49	2
142	hif-1	1	49	2
143	hif-1	1	49	2
144	hif-1	1	52	2
145	hif-1	1	24	3
146	hif-1	1	24	3
147	hif-1	1	27	3
148	hif-1	1	27	3
149	hif-1	1	27	3
150	hif-1	1	29	3
151	hif-1	1	14	0
152	hif-1	1	14	0
153	hif-1	1	17	0
154	hif-1	1	19	0
155	hif-1	1	21	0
156	hif-1	1	24	0
157	hif-1	1	24	0
158	hif-1	1	24	0
159	hif-1	1	29	0
160	hif-1	1	29	0
161	hif-1	1	31	0
162	hif-1	1	33	0
163	hif-1	1	33	0
164	hif-1	1	33	0
165	hif-1	1	33	0
166	hif-1	1	35	0
167	hif-1	1	35	0
168	hif-1	1	35	0
169	hif-1	1	35	0
170	hif-1	1	35	0
171	hif-1	1	35	0
172	hif-1	1	35	0
173	hif-1	1	35	0
174	hif-1	1	38	0
175	hif-1	1	38	0
176	hif-1	1	38	0
177	hif-1	1	40	0
178	hif-1	1	40	0
179	hif-1	1	40	0
180	hif-1	1	42	0
181	hif-1	1	42	0
182	hif-1	1	42	0
183	hif-1	1	45	0
184	hif-1	1	45	0
185	hif-1	2	21	2
186	hif-1	2	24	2
187	hif-1	2	27	2
188	hif-1	2	27	2
189	hif-1	2	27	2
190	hif-1	2	27	2
191	hif-1	2	29	2
192	hif-1	2	29	2
193	hif-1	2	31	2
194	hif-1	2	33	2
195	hif-1	2	33	2
196	hif-1	2	33	2
197	hif-1	2	33	2
198	hif-1	2	33	2
199	hif-1	2	33	2
200	hif-1	2	33	2
201	hif-1	2	33	2
202	hif-1	2	35	2
203	hif-1	2	38	2
204	hif-1	2	38	2
205	hif-1	2	40	2
206	hif-1	2	40	2
207	hif-1	2	42	2
208	hif-1	2	45	2
209	hif-1	2	47	2
210	hif-1	2	49	2
211	hif-1	2	24	3
212	hif-1	2	24	3
213	hif-1	2	27	3
214	hif-1	2	27	3
215	hif-1	2	31	3
216	hif-1	2	31	3
217	hif-1	2	40	3
