strain	replicate	age.at.death	rupture	
1	N2	1	31	0
2	N2	1	36	0
3	N2	1	34	0
4	N2	1	34	0
5	N2	1	34	0
6	N2	1	34	0
7	N2	1	34	0
8	N2	1	34	0
9	N2	1	34	0
10	N2	1	34	0
11	N2	1	34	0
12	N2	1	34	0
13	N2	1	34	0
14	N2	1	34	0
15	N2	1	34	0
16	N2	1	34	0
17	N2	1	34	0
18	N2	1	34	0
19	N2	1	44	0
20	N2	1	44	0
21	N2	1	44	0
22	N2	1	44	0
23	N2	1	44	0
24	N2	1	46	0
25	N2	1	46	0
26	N2	1	24	2
27	N2	1	31	2
28	N2	1	31	2
29	N2	1	36	2
30	N2	1	36	2
31	N2	1	36	2
32	N2	1	36	2
33	N2	1	36	2
34	N2	1	36	2
35	N2	1	24	3
36	N2	1	24	3
37	N2	1	28	3
38	N2	1	28	3
39	N2	1	28	3
40	N2	1	28	3
41	N2	1	28	3
42	N2	1	31	3
43	N2	1	31	3
44	N2	1	31	3
45	N2	1	36	3
46	N2	1	36	3
47	N2	1	36	3
48	N2	1	36	3
49	N2	1	36	3
50	N2	1	36	3
51	N2	1	36	3
52	N2	1	36	3
53	N2	1	34	3
54	SKN-1.OE	1	18	0
55	SKN-1.OE	1	24	0
56	SKN-1.OE	1	31	0
57	SKN-1.OE	1	31	0
58	SKN-1.OE	1	31	0
59	SKN-1.OE	1	31	0
60	SKN-1.OE	1	34	0
61	SKN-1.OE	1	34	0
62	SKN-1.OE	1	34	0
63	SKN-1.OE	1	34	0
64	SKN-1.OE	1	34	0
65	SKN-1.OE	1	34	0
66	SKN-1.OE	1	34	0
67	SKN-1.OE	1	34	0
68	SKN-1.OE	1	34	0
69	SKN-1.OE	1	34	0
70	SKN-1.OE	1	42	0
71	SKN-1.OE	1	42	0
72	SKN-1.OE	1	42	0
73	SKN-1.OE	1	42	0
74	SKN-1.OE	1	42	0
75	SKN-1.OE	1	42	0
76	SKN-1.OE	1	42	0
77	SKN-1.OE	1	42	0
78	SKN-1.OE	1	42	0
79	SKN-1.OE	1	42	0
80	SKN-1.OE	1	42	0
81	SKN-1.OE	1	42	0
82	SKN-1.OE	1	42	0
83	SKN-1.OE	1	42	0
84	SKN-1.OE	1	42	0
85	SKN-1.OE	1	42	0
86	SKN-1.OE	1	42	0
87	SKN-1.OE	1	42	0
88	SKN-1.OE	1	42	0
89	SKN-1.OE	1	44	0
90	SKN-1.OE	1	44	0
91	SKN-1.OE	1	44	0
92	SKN-1.OE	1	44	0
93	SKN-1.OE	1	44	0
94	SKN-1.OE	1	44	0
95	SKN-1.OE	1	44	0
96	SKN-1.OE	1	44	0
97	SKN-1.OE	1	44	0
98	SKN-1.OE	1	44	0
99	SKN-1.OE	1	44	0
100	SKN-1.OE	1	44	0
101	SKN-1.OE	1	44	0
102	SKN-1.OE	1	44	0
103	SKN-1.OE	1	46	0
104	SKN-1.OE	1	46	0
105	SKN-1.OE	1	46	0
106	SKN-1.OE	1	46	0
107	SKN-1.OE	1	51	0
108	SKN-1.OE	1	51	0
109	SKN-1.OE	1	51	0
110	SKN-1.OE	1	51	0
111	SKN-1.OE	1	51	0
112	SKN-1.OE	1	51	0
113	SKN-1.OE	1	51	0
114	SKN-1.OE	1	51	0
115	SKN-1.OE	1	51	0
116	SKN-1.OE	1	51	0
117	SKN-1.OE	1	51	0
118	SKN-1.OE	1	51	0
119	SKN-1.OE	1	51	0
120	SKN-1.OE	1	51	0
121	SKN-1.OE	1	51	0
122	SKN-1.OE	1	51	0
123	SKN-1.OE	1	51	0
124	SKN-1.OE	1	51	0
125	SKN-1.OE	1	51	0
126	SKN-1.OE	1	51	0
127	SKN-1.OE	1	51	0
128	SKN-1.OE	1	51	0
129	SKN-1.OE	1	53	0
130	SKN-1.OE	1	53	0
131	SKN-1.OE	1	53	0
132	SKN-1.OE	1	53	0
133	vhl-1	1	21	0
134	vhl-1	1	31	0
135	vhl-1	1	36	0
136	vhl-1	1	36	0
137	vhl-1	1	36	0
138	vhl-1	1	36	0
139	vhl-1	1	36	0
140	vhl-1	1	34	0
141	vhl-1	1	34	0
142	vhl-1	1	34	0
143	vhl-1	1	34	0
144	vhl-1	1	34	0
145	vhl-1	1	34	0
146	vhl-1	1	34	0
147	vhl-1	1	34	0
148	vhl-1	1	34	0
149	vhl-1	1	34	0
150	vhl-1	1	34	0
151	vhl-1	1	34	0
152	vhl-1	1	34	0
153	vhl-1	1	34	0
154	vhl-1	1	34	0
155	vhl-1	1	34	0
156	vhl-1	1	34	0
157	vhl-1	1	34	0
158	vhl-1	1	34	0
159	vhl-1	1	42	0
160	vhl-1	1	42	0
161	vhl-1	1	42	0
162	vhl-1	1	42	0
163	vhl-1	1	42	0
164	vhl-1	1	42	0
165	vhl-1	1	42	0
166	vhl-1	1	42	0
167	vhl-1	1	42	0
168	vhl-1	1	42	0
169	vhl-1	1	42	0
170	vhl-1	1	42	0
171	vhl-1	1	42	0
172	vhl-1	1	42	0
173	vhl-1	1	42	0
174	vhl-1	1	42	0
175	vhl-1	1	44	0
176	vhl-1	1	44	0
177	vhl-1	1	44	0
178	vhl-1	1	44	0
179	vhl-1	1	44	0
180	vhl-1	1	44	0
181	vhl-1	1	44	0
182	vhl-1	1	44	0
183	vhl-1	1	51	0
184	vhl-1	1	51	0
185	vhl-1	1	51	0
186	vhl-1	1	51	0
187	vhl-1	1	51	0
188	vhl-1	1	51	0
189	vhl-1	1	51	0
190	vhl-1	1	51	0
191	vhl-1	1	51	0
192	vhl-1	1	51	0
193	vhl-1	1	51	0
194	vhl-1	1	51	0
195	vhl-1	1	51	0
196	vhl-1	1	51	0
197	vhl-1	1	51	0
198	vhl-1	1	51	0
199	vhl-1	1	51	0
200	vhl-1	1	51	0
201	vhl-1	1	51	0
202	vhl-1	1	51	0
203	vhl-1	1	51	0
204	vhl-1	1	51	0
205	vhl-1	1	51	0
206	vhl-1	1	51	0
207	vhl-1	1	51	0
208	vhl-1	1	51	0
209	vhl-1	1	53	0
210	vhl-1	1	53	0
211	vhl-1	1	53	0
212	vhl-1	1	53	0
213	vhl-1	1	53	0
214	vhl-1	1	53	0
215	vhl-1	1	53	0
216	vhl-1	1	53	0
217	vhl-1	1	53	0
218	vhl-1	1	53	0
219	vhl-1	1	53	0
220	vhl-1	1	53	0
221	vhl-1	1	53	0
222	vhl-1	1	53	0
223	vhl-1	1	53	0
224	vhl-1	1	53	0
225	vhl-1	1	53	0
226	vhl-1	1	53	0
227	vhl-1	1	53	0
228	vhl-1	1	53	0
229	vhl-1	1	53	0
230	vhl-1	1	53	0
231	vhl-1	1	53	0
232	vhl-1	1	56	0
233	vhl-1	1	56	0
234	vhl-1	1	56	0
235	vhl-1	1	56	0
236	vhl-1	1	56	0
237	vhl-1	1	56	0
238	vhl-1	1	56	0
239	vhl-1	1	56	0
240	vhl-1	1	56	0
241	vhl-1	1	58	0
242	vhl-1	1	58	0
243	vhl-1	1	58	0
244	vhl-1	1	58	0
245	vhl-1	1	21	2
246	vhl-1	1	31	2
