"strain"	"replicate"	"age.at.death"	"rupture"
"strain"	"replicate"	"age.at.death"	"rupture"
"1"	"N2.EV(RNAi)"	1	21	0
"1"	"N2.EV(RNAi)"	1	21	0
"2"	"N2.EV(RNAi)"	1	21	0
"2"	"N2.EV(RNAi)"	1	21	0
"3"	"N2.EV(RNAi)"	1	21	0
"3"	"N2.EV(RNAi)"	1	21	0
"4"	"N2.EV(RNAi)"	1	21	0
"4"	"N2.EV(RNAi)"	1	21	0
"5"	"N2.EV(RNAi)"	1	21	0
"5"	"N2.EV(RNAi)"	1	21	0
"6"	"N2.EV(RNAi)"	1	21	0
"6"	"N2.EV(RNAi)"	1	21	0
"7"	"N2.EV(RNAi)"	1	21	0
"7"	"N2.EV(RNAi)"	1	21	0
"8"	"N2.EV(RNAi)"	1	21	0
"8"	"N2.EV(RNAi)"	1	21	0
"9"	"N2.EV(RNAi)"	1	21	0
"9"	"N2.EV(RNAi)"	1	21	0
"10"	"N2.EV(RNAi)"	1	23	0
"10"	"N2.EV(RNAi)"	1	23	0
"11"	"N2.EV(RNAi)"	1	23	0
"11"	"N2.EV(RNAi)"	1	23	0
"12"	"N2.EV(RNAi)"	1	23	0
"12"	"N2.EV(RNAi)"	1	23	0
"13"	"N2.EV(RNAi)"	1	23	0
"13"	"N2.EV(RNAi)"	1	23	0
"14"	"N2.EV(RNAi)"	1	23	0
"14"	"N2.EV(RNAi)"	1	23	0
"15"	"N2.EV(RNAi)"	1	23	0
"15"	"N2.EV(RNAi)"	1	23	0
"16"	"N2.EV(RNAi)"	1	23	0
"16"	"N2.EV(RNAi)"	1	23	0
"17"	"N2.EV(RNAi)"	1	23	0
"17"	"N2.EV(RNAi)"	1	23	0
"18"	"N2.EV(RNAi)"	1	23	0
"18"	"N2.EV(RNAi)"	1	23	0
"19"	"N2.EV(RNAi)"	1	25	0
"19"	"N2.EV(RNAi)"	1	25	0
"20"	"N2.EV(RNAi)"	1	25	0
"20"	"N2.EV(RNAi)"	1	25	0
"21"	"N2.EV(RNAi)"	1	25	0
"21"	"N2.EV(RNAi)"	1	25	0
"22"	"N2.EV(RNAi)"	1	25	0
"22"	"N2.EV(RNAi)"	1	25	0
"23"	"N2.EV(RNAi)"	1	25	0
"23"	"N2.EV(RNAi)"	1	25	0
"24"	"N2.EV(RNAi)"	1	25	0
"24"	"N2.EV(RNAi)"	1	25	0
"25"	"N2.EV(RNAi)"	1	25	0
"25"	"N2.EV(RNAi)"	1	25	0
"26"	"N2.EV(RNAi)"	1	25	0
"26"	"N2.EV(RNAi)"	1	25	0
"27"	"N2.EV(RNAi)"	1	25	0
"27"	"N2.EV(RNAi)"	1	25	0
"28"	"N2.EV(RNAi)"	1	27	0
"28"	"N2.EV(RNAi)"	1	27	0
"29"	"N2.EV(RNAi)"	1	21	1
"29"	"N2.EV(RNAi)"	1	21	1
"30"	"N2.EV(RNAi)"	1	21	1
"30"	"N2.EV(RNAi)"	1	21	1
"31"	"N2.EV(RNAi)"	1	21	1
"31"	"N2.EV(RNAi)"	1	21	1
"32"	"N2.EV(RNAi)"	1	21	1
"32"	"N2.EV(RNAi)"	1	21	1
"33"	"N2.EV(RNAi)"	1	21	1
"33"	"N2.EV(RNAi)"	1	21	1
"34"	"N2.EV(RNAi)"	1	14	2
"34"	"N2.EV(RNAi)"	1	14	2
"35"	"N2.EV(RNAi)"	1	14	2
"35"	"N2.EV(RNAi)"	1	14	2
"36"	"N2.EV(RNAi)"	1	14	2
"36"	"N2.EV(RNAi)"	1	14	2
"37"	"N2.EV(RNAi)"	1	14	2
"37"	"N2.EV(RNAi)"	1	14	2
"38"	"N2.EV(RNAi)"	1	14	2
"38"	"N2.EV(RNAi)"	1	14	2
"39"	"N2.EV(RNAi)"	1	14	2
"39"	"N2.EV(RNAi)"	1	14	2
"40"	"N2.EV(RNAi)"	1	14	2
"40"	"N2.EV(RNAi)"	1	14	2
"41"	"N2.EV(RNAi)"	1	14	2
"41"	"N2.EV(RNAi)"	1	14	2
"42"	"N2.EV(RNAi)"	1	14	2
"42"	"N2.EV(RNAi)"	1	14	2
"43"	"N2.EV(RNAi)"	1	14	2
"43"	"N2.EV(RNAi)"	1	14	2
"44"	"N2.EV(RNAi)"	1	14	2
"44"	"N2.EV(RNAi)"	1	14	2
"45"	"N2.EV(RNAi)"	1	14	2
"45"	"N2.EV(RNAi)"	1	14	2
"46"	"N2.EV(RNAi)"	1	16	2
"46"	"N2.EV(RNAi)"	1	16	2
"47"	"N2.EV(RNAi)"	1	16	2
"47"	"N2.EV(RNAi)"	1	16	2
"48"	"N2.EV(RNAi)"	1	16	2
"48"	"N2.EV(RNAi)"	1	16	2
"49"	"N2.EV(RNAi)"	1	16	2
"49"	"N2.EV(RNAi)"	1	16	2
"50"	"N2.EV(RNAi)"	1	16	2
"50"	"N2.EV(RNAi)"	1	16	2
"51"	"N2.EV(RNAi)"	1	16	2
"51"	"N2.EV(RNAi)"	1	16	2
"52"	"N2.EV(RNAi)"	1	16	2
"52"	"N2.EV(RNAi)"	1	16	2
"53"	"N2.EV(RNAi)"	1	16	2
"53"	"N2.EV(RNAi)"	1	16	2
"54"	"N2.EV(RNAi)"	1	16	2
"54"	"N2.EV(RNAi)"	1	16	2
"55"	"N2.EV(RNAi)"	1	18	2
"55"	"N2.EV(RNAi)"	1	18	2
"56"	"N2.EV(RNAi)"	1	18	2
"56"	"N2.EV(RNAi)"	1	18	2
"57"	"N2.EV(RNAi)"	1	18	2
"57"	"N2.EV(RNAi)"	1	18	2
"58"	"N2.EV(RNAi)"	1	18	2
"58"	"N2.EV(RNAi)"	1	18	2
"59"	"N2.EV(RNAi)"	1	18	2
"59"	"N2.EV(RNAi)"	1	18	2
"60"	"N2.EV(RNAi)"	1	18	2
"60"	"N2.EV(RNAi)"	1	18	2
"61"	"N2.EV(RNAi)"	1	18	2
"61"	"N2.EV(RNAi)"	1	18	2
"62"	"N2.EV(RNAi)"	1	18	2
"62"	"N2.EV(RNAi)"	1	18	2
"63"	"N2.EV(RNAi)"	1	21	2
"63"	"N2.EV(RNAi)"	1	21	2
"64"	"N2.EV(RNAi)"	1	21	2
"64"	"N2.EV(RNAi)"	1	21	2
"65"	"N2.EV(RNAi)"	1	21	2
"65"	"N2.EV(RNAi)"	1	21	2
"66"	"N2.EV(RNAi)"	1	21	2
"66"	"N2.EV(RNAi)"	1	21	2
"67"	"N2.EV(RNAi)"	1	21	2
"67"	"N2.EV(RNAi)"	1	21	2
"68"	"N2.EV(RNAi)"	1	21	2
"68"	"N2.EV(RNAi)"	1	21	2
"69"	"N2.EV(RNAi)"	1	23	2
"69"	"N2.EV(RNAi)"	1	23	2
"70"	"N2.EV(RNAi)"	1	25	2
"70"	"N2.EV(RNAi)"	1	25	2
"71"	"N2.EV(RNAi)"	1	14	3
"71"	"N2.EV(RNAi)"	1	14	3
"72"	"N2.EV(RNAi)"	1	14	3
"72"	"N2.EV(RNAi)"	1	14	3
"73"	"N2.EV(RNAi)"	1	14	3
"73"	"N2.EV(RNAi)"	1	14	3
"74"	"N2.EV(RNAi)"	1	16	3
"74"	"N2.EV(RNAi)"	1	16	3
"75"	"N2.EV(RNAi)"	1	23	3
"75"	"N2.EV(RNAi)"	1	23	3
"76"	"N2.EV(RNAi)"	2	16	0
"76"	"N2.EV(RNAi)"	2	16	0
"77"	"N2.EV(RNAi)"	2	16	0
"77"	"N2.EV(RNAi)"	2	16	0
"78"	"N2.EV(RNAi)"	2	18	0
"78"	"N2.EV(RNAi)"	2	18	0
"79"	"N2.EV(RNAi)"	2	18	0
"79"	"N2.EV(RNAi)"	2	18	0
"80"	"N2.EV(RNAi)"	2	18	0
"80"	"N2.EV(RNAi)"	2	18	0
"81"	"N2.EV(RNAi)"	2	18	0
"81"	"N2.EV(RNAi)"	2	18	0
"82"	"N2.EV(RNAi)"	2	18	0
"82"	"N2.EV(RNAi)"	2	18	0
"83"	"N2.EV(RNAi)"	2	21	0
"83"	"N2.EV(RNAi)"	2	21	0
"84"	"N2.EV(RNAi)"	2	21	0
"84"	"N2.EV(RNAi)"	2	21	0
"85"	"N2.EV(RNAi)"	2	21	0
"85"	"N2.EV(RNAi)"	2	21	0
"86"	"N2.EV(RNAi)"	2	21	0
"86"	"N2.EV(RNAi)"	2	21	0
"87"	"N2.EV(RNAi)"	2	21	0
"87"	"N2.EV(RNAi)"	2	21	0
"88"	"N2.EV(RNAi)"	2	21	0
"88"	"N2.EV(RNAi)"	2	21	0
"89"	"N2.EV(RNAi)"	2	21	0
"89"	"N2.EV(RNAi)"	2	21	0
"90"	"N2.EV(RNAi)"	2	21	0
"90"	"N2.EV(RNAi)"	2	21	0
"91"	"N2.EV(RNAi)"	2	21	0
"91"	"N2.EV(RNAi)"	2	21	0
"92"	"N2.EV(RNAi)"	2	21	0
