strain	replicate	age.at.death	rupture	
strain	replicate	age.at.death	rupture	
1	N2	1	21	0
1	N2	1	21	0
2	N2	1	21	0
2	N2	1	21	0
3	N2	1	23	0
3	N2	1	23	0
4	N2	1	23	0
4	N2	1	23	0
5	N2	1	23	0
5	N2	1	23	0
6	N2	1	25	0
6	N2	1	25	0
7	N2	1	25	0
7	N2	1	25	0
8	N2	1	25	0
8	N2	1	25	0
9	N2	1	25	0
9	N2	1	25	0
10	N2	1	25	0
10	N2	1	25	0
11	N2	1	25	0
11	N2	1	25	0
12	N2	1	25	0
12	N2	1	25	0
13	N2	1	25	0
13	N2	1	25	0
14	N2	1	25	0
14	N2	1	25	0
15	N2	1	25	0
15	N2	1	25	0
16	N2	1	25	0
16	N2	1	25	0
17	N2	1	28	0
17	N2	1	28	0
18	N2	1	28	0
18	N2	1	28	0
19	N2	1	28	0
19	N2	1	28	0
20	N2	1	28	0
20	N2	1	28	0
21	N2	1	28	0
21	N2	1	28	0
22	N2	1	28	0
22	N2	1	28	0
23	N2	1	28	0
23	N2	1	28	0
24	N2	1	28	0
24	N2	1	28	0
25	N2	1	28	0
25	N2	1	28	0
26	N2	1	28	0
26	N2	1	28	0
27	N2	1	28	0
27	N2	1	28	0
28	N2	1	28	0
28	N2	1	28	0
29	N2	1	28	0
29	N2	1	28	0
30	N2	1	28	0
30	N2	1	28	0
31	N2	1	28	0
31	N2	1	28	0
32	N2	1	30	0
32	N2	1	30	0
33	N2	1	30	0
33	N2	1	30	0
34	N2	1	30	0
34	N2	1	30	0
35	N2	1	30	0
35	N2	1	30	0
36	N2	1	32	0
36	N2	1	32	0
37	N2	1	32	0
37	N2	1	32	0
38	N2	1	32	0
38	N2	1	32	0
39	N2	1	32	0
39	N2	1	32	0
40	N2	1	32	0
40	N2	1	32	0
41	N2	1	34	0
41	N2	1	34	0
42	N2	1	34	0
42	N2	1	34	0
43	N2	1	34	0
43	N2	1	34	0
44	N2	1	34	0
44	N2	1	34	0
45	N2	1	34	0
45	N2	1	34	0
46	N2	1	34	0
46	N2	1	34	0
47	N2	1	16	2
47	N2	1	16	2
48	N2	1	16	2
48	N2	1	16	2
49	N2	1	18	2
49	N2	1	18	2
50	N2	1	18	2
50	N2	1	18	2
51	N2	1	18	2
51	N2	1	18	2
52	N2	1	18	2
52	N2	1	18	2
53	N2	1	21	2
53	N2	1	21	2
54	N2	1	21	2
54	N2	1	21	2
55	N2	1	21	2
55	N2	1	21	2
56	N2	1	21	2
56	N2	1	21	2
57	N2	1	21	2
57	N2	1	21	2
58	N2	1	23	2
58	N2	1	23	2
59	N2	1	23	2
59	N2	1	23	2
60	N2	1	23	2
60	N2	1	23	2
61	N2	1	28	2
61	N2	1	28	2
62	N2	1	28	2
62	N2	1	28	2
63	N2	2	21	0
63	N2	2	21	0
64	N2	2	21	0
64	N2	2	21	0
65	N2	2	23	0
65	N2	2	23	0
66	N2	2	23	0
66	N2	2	23	0
67	N2	2	23	0
67	N2	2	23	0
68	N2	2	25	0
68	N2	2	25	0
69	N2	2	25	0
69	N2	2	25	0
70	N2	2	25	0
70	N2	2	25	0
71	N2	2	25	0
71	N2	2	25	0
72	N2	2	25	0
72	N2	2	25	0
73	N2	2	28	0
73	N2	2	28	0
74	N2	2	28	0
74	N2	2	28	0
75	N2	2	28	0
75	N2	2	28	0
76	N2	2	28	0
76	N2	2	28	0
77	N2	2	28	0
77	N2	2	28	0
78	N2	2	28	0
78	N2	2	28	0
79	N2	2	28	0
79	N2	2	28	0
