strain	replicate	age.at.death	rupture	
strain	replicate	age.at.death	rupture	
1	N2.EV(RNAi)	1	14	0
1	N2.EV(RNAi)	1	14	0
2	N2.EV(RNAi)	1	16	0
2	N2.EV(RNAi)	1	16	0
3	N2.EV(RNAi)	1	16	0
3	N2.EV(RNAi)	1	16	0
4	N2.EV(RNAi)	1	16	0
4	N2.EV(RNAi)	1	16	0
5	N2.EV(RNAi)	1	16	0
5	N2.EV(RNAi)	1	16	0
6	N2.EV(RNAi)	1	18	0
6	N2.EV(RNAi)	1	18	0
7	N2.EV(RNAi)	1	18	0
7	N2.EV(RNAi)	1	18	0
8	N2.EV(RNAi)	1	18	0
8	N2.EV(RNAi)	1	18	0
9	N2.EV(RNAi)	1	18	0
9	N2.EV(RNAi)	1	18	0
10	N2.EV(RNAi)	1	18	0
10	N2.EV(RNAi)	1	18	0
11	N2.EV(RNAi)	1	18	0
11	N2.EV(RNAi)	1	18	0
12	N2.EV(RNAi)	1	18	0
12	N2.EV(RNAi)	1	18	0
13	N2.EV(RNAi)	1	21	0
13	N2.EV(RNAi)	1	21	0
14	N2.EV(RNAi)	1	21	0
14	N2.EV(RNAi)	1	21	0
15	N2.EV(RNAi)	1	21	0
15	N2.EV(RNAi)	1	21	0
16	N2.EV(RNAi)	1	21	0
16	N2.EV(RNAi)	1	21	0
17	N2.EV(RNAi)	1	21	0
17	N2.EV(RNAi)	1	21	0
18	N2.EV(RNAi)	1	21	0
18	N2.EV(RNAi)	1	21	0
19	N2.EV(RNAi)	1	21	0
19	N2.EV(RNAi)	1	21	0
20	N2.EV(RNAi)	1	21	0
20	N2.EV(RNAi)	1	21	0
21	N2.EV(RNAi)	1	23	0
21	N2.EV(RNAi)	1	23	0
22	N2.EV(RNAi)	1	23	0
22	N2.EV(RNAi)	1	23	0
23	N2.EV(RNAi)	1	23	0
23	N2.EV(RNAi)	1	23	0
24	N2.EV(RNAi)	1	23	0
24	N2.EV(RNAi)	1	23	0
25	N2.EV(RNAi)	1	23	0
25	N2.EV(RNAi)	1	23	0
26	N2.EV(RNAi)	1	23	0
26	N2.EV(RNAi)	1	23	0
27	N2.EV(RNAi)	1	12	1
27	N2.EV(RNAi)	1	12	1
28	N2.EV(RNAi)	1	16	1
28	N2.EV(RNAi)	1	16	1
29	N2.EV(RNAi)	1	16	1
29	N2.EV(RNAi)	1	16	1
30	N2.EV(RNAi)	1	16	1
30	N2.EV(RNAi)	1	16	1
31	N2.EV(RNAi)	1	14	2
31	N2.EV(RNAi)	1	14	2
32	N2.EV(RNAi)	1	14	2
32	N2.EV(RNAi)	1	14	2
33	N2.EV(RNAi)	1	16	2
33	N2.EV(RNAi)	1	16	2
34	N2.EV(RNAi)	1	16	2
34	N2.EV(RNAi)	1	16	2
35	N2.EV(RNAi)	2	12	0
35	N2.EV(RNAi)	2	12	0
36	N2.EV(RNAi)	2	12	0
36	N2.EV(RNAi)	2	12	0
37	N2.EV(RNAi)	2	12	0
37	N2.EV(RNAi)	2	12	0
38	N2.EV(RNAi)	2	14	0
38	N2.EV(RNAi)	2	14	0
39	N2.EV(RNAi)	2	14	0
39	N2.EV(RNAi)	2	14	0
40	N2.EV(RNAi)	2	14	0
40	N2.EV(RNAi)	2	14	0
41	N2.EV(RNAi)	2	16	0
41	N2.EV(RNAi)	2	16	0
42	N2.EV(RNAi)	2	16	0
42	N2.EV(RNAi)	2	16	0
43	N2.EV(RNAi)	2	16	0
43	N2.EV(RNAi)	2	16	0
44	N2.EV(RNAi)	2	16	0
44	N2.EV(RNAi)	2	16	0
45	N2.EV(RNAi)	2	16	0
45	N2.EV(RNAi)	2	16	0
46	N2.EV(RNAi)	2	16	0
46	N2.EV(RNAi)	2	16	0
47	N2.EV(RNAi)	2	16	0
47	N2.EV(RNAi)	2	16	0
48	N2.EV(RNAi)	2	16	0
48	N2.EV(RNAi)	2	16	0
49	N2.EV(RNAi)	2	16	0
49	N2.EV(RNAi)	2	16	0
50	N2.EV(RNAi)	2	16	0
50	N2.EV(RNAi)	2	16	0
51	N2.EV(RNAi)	2	18	0
51	N2.EV(RNAi)	2	18	0
52	N2.EV(RNAi)	2	18	0
52	N2.EV(RNAi)	2	18	0
53	N2.EV(RNAi)	2	18	0
53	N2.EV(RNAi)	2	18	0
54	N2.EV(RNAi)	2	18	0
54	N2.EV(RNAi)	2	18	0
55	N2.EV(RNAi)	2	21	0
55	N2.EV(RNAi)	2	21	0
56	N2.EV(RNAi)	2	23	0
56	N2.EV(RNAi)	2	23	0
57	N2.EV(RNAi)	2	23	0
57	N2.EV(RNAi)	2	23	0
58	N2.EV(RNAi)	2	23	0
58	N2.EV(RNAi)	2	23	0
59	N2.EV(RNAi)	2	23	0
59	N2.EV(RNAi)	2	23	0
60	N2.EV(RNAi)	2	23	0
60	N2.EV(RNAi)	2	23	0
61	N2.EV(RNAi)	2	25	0
61	N2.EV(RNAi)	2	25	0
62	N2.EV(RNAi)	2	25	0
62	N2.EV(RNAi)	2	25	0
63	N2.EV(RNAi)	2	25	0
63	N2.EV(RNAi)	2	25	0
64	N2.EV(RNAi)	2	25	0
64	N2.EV(RNAi)	2	25	0
65	N2.EV(RNAi)	2	25	0
65	N2.EV(RNAi)	2	25	0
66	N2.EV(RNAi)	2	25	0
