strain	replicate	age.at.death	rupture	
strain	replicate	age.at.death	rupture	
1	N2	1	20	0
1	N2	1	20	0
2	N2	1	22	0
2	N2	1	22	0
3	N2	1	22	0
3	N2	1	22	0
4	N2	1	22	0
4	N2	1	22	0
5	N2	1	22	0
5	N2	1	22	0
6	N2	1	22	0
6	N2	1	22	0
7	N2	1	22	0
7	N2	1	22	0
8	N2	1	22	0
8	N2	1	22	0
9	N2	1	22	0
9	N2	1	22	0
10	N2	1	22	0
10	N2	1	22	0
11	N2	1	24	0
11	N2	1	24	0
12	N2	1	24	0
12	N2	1	24	0
13	N2	1	24	0
13	N2	1	24	0
14	N2	1	24	0
14	N2	1	24	0
15	N2	1	24	0
15	N2	1	24	0
16	N2	1	24	0
16	N2	1	24	0
17	N2	1	24	0
17	N2	1	24	0
18	N2	1	24	0
18	N2	1	24	0
19	N2	1	27	0
19	N2	1	27	0
20	N2	1	27	0
20	N2	1	27	0
21	N2	1	29	0
21	N2	1	29	0
22	N2	1	29	0
22	N2	1	29	0
23	N2	1	29	0
23	N2	1	29	0
24	N2	1	31	0
24	N2	1	31	0
25	N2	1	34	0
25	N2	1	34	0
26	N2	1	36	0
26	N2	1	36	0
27	N2	1	27	1
27	N2	1	27	1
28	N2	1	31	1
28	N2	1	31	1
29	N2	1	18	2
29	N2	1	18	2
30	N2	1	18	2
30	N2	1	18	2
31	N2	1	20	2
31	N2	1	20	2
32	N2	1	22	2
32	N2	1	22	2
33	N2	1	22	2
33	N2	1	22	2
34	N2	1	22	2
34	N2	1	22	2
35	N2	1	24	2
35	N2	1	24	2
36	N2	1	16	3
36	N2	1	16	3
37	N2	1	18	3
37	N2	1	18	3
38	N2	1	18	3
38	N2	1	18	3
39	N2	1	20	3
39	N2	1	20	3
40	N2	1	22	3
40	N2	1	22	3
41	N2	1	22	3
41	N2	1	22	3
42	N2	2	18	0
42	N2	2	18	0
43	N2	2	20	0
43	N2	2	20	0
44	N2	2	20	0
44	N2	2	20	0
45	N2	2	20	0
45	N2	2	20	0
46	N2	2	20	0
46	N2	2	20	0
47	N2	2	22	0
