"strain"	"replicate"	"age.at.death"	"rupture"
"strain"	"replicate"	"age.at.death"	"rupture"
"1"	"N2"	1	18	0
"1"	"N2"	1	18	0
"2"	"N2"	1	18	0
"2"	"N2"	1	18	0
"3"	"N2"	1	18	0
"3"	"N2"	1	18	0
"4"	"N2"	1	20	0
"4"	"N2"	1	20	0
"5"	"N2"	1	20	0
"5"	"N2"	1	20	0
"6"	"N2"	1	20	0
"6"	"N2"	1	20	0
"7"	"N2"	1	20	0
"7"	"N2"	1	20	0
"8"	"N2"	1	20	0
"8"	"N2"	1	20	0
"9"	"N2"	1	20	0
"9"	"N2"	1	20	0
"10"	"N2"	1	23	0
"10"	"N2"	1	23	0
"11"	"N2"	1	23	0
"11"	"N2"	1	23	0
"12"	"N2"	1	23	0
"12"	"N2"	1	23	0
"13"	"N2"	1	23	0
"13"	"N2"	1	23	0
"14"	"N2"	1	23	0
"14"	"N2"	1	23	0
"15"	"N2"	1	23	0
"15"	"N2"	1	23	0
"16"	"N2"	1	23	0
"16"	"N2"	1	23	0
"17"	"N2"	1	23	0
"17"	"N2"	1	23	0
"18"	"N2"	1	23	0
"18"	"N2"	1	23	0
"19"	"N2"	1	23	0
"19"	"N2"	1	23	0
"20"	"N2"	1	23	0
"20"	"N2"	1	23	0
"21"	"N2"	1	23	0
"21"	"N2"	1	23	0
"22"	"N2"	1	23	0
"22"	"N2"	1	23	0
"23"	"N2"	1	23	0
"23"	"N2"	1	23	0
"24"	"N2"	1	23	0
"24"	"N2"	1	23	0
"25"	"N2"	1	23	0
"25"	"N2"	1	23	0
"26"	"N2"	1	23	0
"26"	"N2"	1	23	0
"27"	"N2"	1	23	0
"27"	"N2"	1	23	0
"28"	"N2"	1	23	0
"28"	"N2"	1	23	0
"29"	"N2"	1	23	0
"29"	"N2"	1	23	0
"30"	"N2"	1	23	0
"30"	"N2"	1	23	0
"31"	"N2"	1	23	0
"31"	"N2"	1	23	0
"32"	"N2"	1	23	0
"32"	"N2"	1	23	0
"33"	"N2"	1	23	0
"33"	"N2"	1	23	0
"34"	"N2"	1	23	0
"34"	"N2"	1	23	0
"35"	"N2"	1	23	0
"35"	"N2"	1	23	0
"36"	"N2"	1	23	0
"36"	"N2"	1	23	0
"37"	"N2"	1	23	0
"37"	"N2"	1	23	0
"38"	"N2"	1	23	0
"38"	"N2"	1	23	0
"39"	"N2"	1	23	0
"39"	"N2"	1	23	0
"40"	"N2"	1	23	0
"40"	"N2"	1	23	0
"41"	"N2"	1	23	0
"41"	"N2"	1	23	0
