strain	replicate	age.at.death	rupture	
strain	replicate	age.at.death	rupture	
1	WT.EV(RNAi)	1	8	0
1	WT.EV(RNAi)	1	8	0
2	WT.EV(RNAi)	1	10	0
2	WT.EV(RNAi)	1	10	0
3	WT.EV(RNAi)	1	12	0
3	WT.EV(RNAi)	1	12	0
4	WT.EV(RNAi)	1	12	0
4	WT.EV(RNAi)	1	12	0
5	WT.EV(RNAi)	1	12	0
5	WT.EV(RNAi)	1	12	0
6	WT.EV(RNAi)	1	12	0
6	WT.EV(RNAi)	1	12	0
7	WT.EV(RNAi)	1	12	0
7	WT.EV(RNAi)	1	12	0
8	WT.EV(RNAi)	1	12	0
8	WT.EV(RNAi)	1	12	0
9	WT.EV(RNAi)	1	14	0
9	WT.EV(RNAi)	1	14	0
10	WT.EV(RNAi)	1	14	0
10	WT.EV(RNAi)	1	14	0
11	WT.EV(RNAi)	1	16	0
11	WT.EV(RNAi)	1	16	0
12	WT.EV(RNAi)	1	16	0
12	WT.EV(RNAi)	1	16	0
13	WT.EV(RNAi)	1	16	0
13	WT.EV(RNAi)	1	16	0
14	WT.EV(RNAi)	1	16	0
14	WT.EV(RNAi)	1	16	0
15	WT.EV(RNAi)	1	16	0
15	WT.EV(RNAi)	1	16	0
16	WT.EV(RNAi)	1	16	0
16	WT.EV(RNAi)	1	16	0
17	WT.EV(RNAi)	1	19	0
17	WT.EV(RNAi)	1	19	0
18	WT.EV(RNAi)	1	19	0
18	WT.EV(RNAi)	1	19	0
19	WT.EV(RNAi)	1	21	0
19	WT.EV(RNAi)	1	21	0
20	WT.EV(RNAi)	1	21	0
20	WT.EV(RNAi)	1	21	0
21	WT.EV(RNAi)	1	21	0
21	WT.EV(RNAi)	1	21	0
22	WT.EV(RNAi)	1	23	0
22	WT.EV(RNAi)	1	23	0
23	WT.EV(RNAi)	1	10	1
23	WT.EV(RNAi)	1	10	1
24	WT.EV(RNAi)	1	12	1
24	WT.EV(RNAi)	1	12	1
25	WT.EV(RNAi)	1	12	1
25	WT.EV(RNAi)	1	12	1
26	WT.EV(RNAi)	1	12	1
26	WT.EV(RNAi)	1	12	1
27	WT.EV(RNAi)	1	12	1
27	WT.EV(RNAi)	1	12	1
28	WT.EV(RNAi)	1	23	1
28	WT.EV(RNAi)	1	23	1
29	WT.EV(RNAi)	1	8	2
29	WT.EV(RNAi)	1	8	2
30	WT.EV(RNAi)	1	10	2
30	WT.EV(RNAi)	1	10	2
31	WT.EV(RNAi)	1	8	3
31	WT.EV(RNAi)	1	8	3
32	WT.EV(RNAi)	2	8	0
32	WT.EV(RNAi)	2	8	0
33	WT.EV(RNAi)	2	12	0
33	WT.EV(RNAi)	2	12	0
34	WT.EV(RNAi)	2	12	0
34	WT.EV(RNAi)	2	12	0
35	WT.EV(RNAi)	2	12	0
35	WT.EV(RNAi)	2	12	0
36	WT.EV(RNAi)	2	14	0
36	WT.EV(RNAi)	2	14	0
37	WT.EV(RNAi)	2	16	0
37	WT.EV(RNAi)	2	16	0
38	WT.EV(RNAi)	2	16	0
38	WT.EV(RNAi)	2	16	0
39	WT.EV(RNAi)	2	16	0
39	WT.EV(RNAi)	2	16	0
40	WT.EV(RNAi)	2	16	0
40	WT.EV(RNAi)	2	16	0
41	WT.EV(RNAi)	2	16	0
41	WT.EV(RNAi)	2	16	0
42	WT.EV(RNAi)	2	16	0
42	WT.EV(RNAi)	2	16	0
43	WT.EV(RNAi)	2	19	0
43	WT.EV(RNAi)	2	19	0
44	WT.EV(RNAi)	2	19	0
44	WT.EV(RNAi)	2	19	0
45	WT.EV(RNAi)	2	19	0
45	WT.EV(RNAi)	2	19	0
46	WT.EV(RNAi)	2	19	0
46	WT.EV(RNAi)	2	19	0
47	WT.EV(RNAi)	2	19	0
47	WT.EV(RNAi)	2	19	0
48	WT.EV(RNAi)	2	19	0
48	WT.EV(RNAi)	2	19	0
